year,round,circuit,p10_grid,had_sc,had_rf,notes
2010,17,yeongam,14,True,False,Sutil P10 from P14 after SC chaos
2011,6,monaco,10,True,False,Damp start; SC periods; grid order mostly preserved
2011,7,villeneuve,4,True,True,Red-flagged 4-hr race; Schumacher P10 from P4
2012,2,sepang,13,False,False,Heavy rain; Button wins; midfield shuffle
2012,15,suzuka,9,True,False,Wet; Webber P10 from P9
2012,20,interlagos,11,True,False,Rain; Vettel/Senna incident; Hulkenberg P10
2013,8,silverstone,14,True,False,Heavy rain; SC; Perez P10 from P14
2014,15,suzuka,6,True,True,Red-flagged; Bianchi accident; Kvyat P10 from P6
2014,18,interlagos,9,True,False,Damp; grid order partially disrupted
2015,16,americas,16,True,False,Very wet; Hamilton wins; backmarkers on podium
2015,18,interlagos,10,True,False,Light rain; grid order mostly held
2016,20,interlagos,17,True,False,Verstappen P10 from P17 in wet — iconic
2017,19,interlagos,12,True,False,SC periods; Sainz P10 from P12
2018,11,hockenheimring,8,True,False,Rain; Hamilton wins pit-lane start; Hulk P10
2018,17,suzuka,7,True,False,Wet race; Leclerc P10 from P7
2019,11,hockenheimring,16,True,False,Very wet; Verstappen P11→P1; Grosjean P10 from P16
2019,20,interlagos,11,True,False,Wet; Gasly wins; Norris P10
2020,11,nurburgring,14,True,False,Foggy/damp Eifel; SC; Ocon P10 from P14
2020,14,istanbul,3,True,False,Very wet; Perez wins; Latifi P10 from P3 start
2021,2,imola,15,True,True,Red-flagged; Bottas-Russell crash; chaos
2021,11,hungaroring,1,True,False,Wet start; Alonso amazing; Vettel DSQ'd later
2021,12,spa,5,True,False,Half points; Verstappen P1; barely raced
2021,15,sochi,7,True,False,Late rain; Hamilton intermediates; Raikkonen P10
2021,19,interlagos,14,True,False,Wet sprint+race; Hamilton incredible comeback
2022,17,marina_bay,8,True,False,Damp Singapore; grid order partially preserved
2022,18,suzuka,11,True,False,Wet; half points; Stroll P10 from P11
2023,20,interlagos,13,True,False,Wet; Verstappen wins; Bottas P10 from P13
2024,14,spa,12,True,False,Heavy rain; Russell wins; Leclerc P10 from P12
2024,21,interlagos,15,True,False,Very wet; Verstappen charges; Stroll P10 from P15
